"","institutionName","numOfBorrowers","receivedAssistance","AssistanceParticipationRate"
"1","ALGOMA UNIVERSITY",125,46,36.8
"2","BROCK UNIVERSITY",2001,579,28.9
"3","CARLETON UNIVERSITY",2064,765,37.1
"4","LAKEHEAD UNIVERSITY",1156,364,31.5
"5","LAURENTIAN UNIVERSITY",744,211,28.4
"6","MCMASTER UNIVERSITY",3019,779,25.8
"7","NIPISSING UNIVERSITY",850,243,28.6
"8","NORTHERN ONTARIO SCHOOL OF MEDICINE",41,3,7.3
"9","ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY",495,236,47.7
"10","QUEEN'S UNIVERSITY",1782,426,23.9
"11","ROYAL MILITARY COLLEGE OF CANADA",15,3,20
"12","RYERSON UNIVERSITY",3795,1394,36.7
"13","TRENT UNIVERSITY",1077,412,38.3
"14","UNIVERSITY OF GUELPH",2500,737,29.5
"15","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY",1190,432,36.3
"16","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA",3306,1093,33.1
"17","UNIVERSITY OF TORONTO",8207,2414,29.4
"18","UNIVERSITY OF WATERLOO",2912,657,22.6
"19","UNIVERSITY OF WESTERN ONTARIO",3692,1012,27.4
"20","UNIVERSITY OF WINDSOR",1769,701,39.6
"21","WILFRID LAURIER UNIVERSITY",1692,467,27.6
"22","YORK UNIVERSITY",6424,2607,40.6
